Below is a **complete test‑case suite** that is derived **only** from the SRS you supplied.  
Every functional requirement (Req‑1 … Req‑16), every business rule (BR‑1 … BR‑10), every use‑case (UC‑01 … UC‑14) and the key non‑functional constraints (performance, security, usability, availability, backup, etc.) are covered.  

The test cases are written in the exact format you requested.  
Only the information that appears in the SRS is used – no assumptions about the implementation are made.

---

### 1.  Use‑Case Test Cases (UC‑01 – UC‑14)

| TC‑ID | Title | Requirement | Preconditions | Test Steps | Expected Result | Test Type |
| TC‑SRS‑011 | Edit Doctor – attempt to change speciality (not allowed) | UC‑03 | Admin logged in; Doctor “Dr. A” linked to “Cardiology” | 1. Edit Dr. A, try to change speciality to “Neurology”, Save | Error message: “Speciality cannot be changed.” Original speciality remains | Negative |
| TC‑SRS‑012 | Delete Doctor – allowed when no pending consultations | UC‑03 | Admin logged in; Doctor “Dr. B” has **no** consultation requests in system | 1. Delete Dr. B, confirm | Doctor removed from list; no error | Functional |
| TC‑SRS‑013 | Delete Doctor – prevented when pending consultation exists | UC‑03 | Admin logged in; Doctor “Dr. C” has an open consultation request (status = Pending) | 1. Attempt to delete Dr. C | Error message: “Cannot delete doctor with pending consultations.” Doctor remains | Negative |
| TC‑SRS‑014 | Add Chemist – successful (one per pincode) | UC‑04 | Admin logged in; pincode **560001** has no chemist yet | 1. Navigate to **Maintain Chemist/Lab**  <br>2. Click **Add Chemist**, fill name, address, pincode 560001, Save | Chemist record created; appears in chemist list | Functional |
| TC‑SRS‑015 | Add Chemist – duplicate pincode (not allowed) | UC‑04 | Admin logged in; Chemist already exists for pincode 560001 | 1. Attempt to add another chemist with same pincode 560001 | Error message: “A chemist already exists for this pincode.” No new chemist created | Negative |
| TC‑SRS‑016 | Edit Chemist – attempt to change pincode (not allowed) | UC‑04 | Admin logged in; Chemist “C1” with pincode 560002 exists | 1. Edit C1, try to modify pincode to 560003, Save | Error message: “Pincode cannot be edited.” Original pincode unchanged | Negative |
| TC‑SRS‑017 | Delete Chemist – allowed when no pending prescriptions | UC‑04 | Admin logged in; Chemist “C2” has **no** pending prescriptions | 1. Delete C2, confirm | Chemist removed from system | Functional |
| TC‑SRS‑018 | Delete Chemist – prevented when pending prescription exists | UC‑04 | Admin logged in; Chemist “C3” has at least one prescription with status = Open | 1. Attempt to delete C3 | Error message: “Cannot delete chemist with pending prescriptions.” Chemist remains | Negative |
| TC‑SRS‑019 | Add Lab – successful (one per pincode) | UC‑04 | Admin logged in; pincode 560004 has no lab yet | 1. Add Lab “L1”, address, pincode 560004, Save | Lab record created | Functional |
| TC‑SRS‑020 | Add Lab – duplicate pincode (not allowed) | UC‑04 | Admin logged in; Lab already exists for pincode 560004 | 1. Attempt to add another lab for same pincode | Error message: “A lab already exists for this pincode.” | Negative |
| TC‑SRS‑021 | Edit Lab – attempt to change pincode (not allowed) | UC‑04 | Admin logged in; Lab “L1” with pincode 560005 exists | 1. Edit L1, try to modify pincode, Save | Error message: “Pincode cannot be edited.” | Negative |
| TC‑SRS‑022 | Delete Lab – allowed when no pending lab requests | UC‑04 | Admin logged in; Lab “L2” has no pending lab requests | 1. Delete L2, confirm | Lab removed | Functional |
| TC‑SRS‑023 | Delete Lab – prevented when pending lab request exists | UC‑04 | Admin logged in; Lab “L3” has open lab request linked to a prescription | 1. Attempt to delete L3 | Error: “Cannot delete lab with pending requests.” | Negative |
| TC‑SRS‑024 | Add Symptom – successful | UC‑05 | Admin logged in | 1. Navigate to **Maintain Symptoms**, click **Add**, enter “Chest Pain”, Save | Symptom appears in master list; selectable for patients | Functional |
| TC‑SRS‑025 | Add Symptom – duplicate (not allowed) | UC‑05 | Admin logged in; Symptom “Fever” already exists | 1. Attempt to add “Fever” again | Error: “Symptom already exists.” | Negative |
| TC‑SRS‑026 | Edit Symptom – change description | UC‑05 | Admin logged in; Symptom “Headache” exists | 1. Edit “Headache”, modify description, Save | Updated description persisted | Functional |
| TC‑SRS‑027 | Delete Symptom – allowed when never used in any consultation | UC‑05 | Admin logged in; Symptom “Nausea” has never been selected in any consultation request | 1. Delete “Nausea” | Symptom removed from master list | Functional |
| TC‑SRS‑028 | Delete Symptom – prevented when used in past consultation | UC‑05 | Admin logged in; Symptom “Cough” was used in a consultation request | 1. Attempt to delete “Cough” | Error: “Cannot delete symptom used in consultations.” | Negative |
| TC‑SRS‑029 | Create Patient Profile – successful (covers Req‑5/1) | Req‑5/1 | System running, no logged‑in user | 1. Click **Register**  <br>2. Fill all mandatory fields  <br>3. Submit | Patient record created with unique Patient‑ID; patient can log in | Functional |
| TC‑SRS‑030 | Edit Patient Profile – update address (covers Req‑5/2) | Req‑5/2 | Patient logged in | 1. Navigate to **My Profile**  <br>2. Change address, Save | Updated address stored; subsequent view shows new address | Functional |
| TC‑SRS‑031 | Delete Patient Profile – prevented when consultation in last 3 years (Req‑5/3) | Req‑5/3 | Patient **P123** has a consultation request dated 2023‑06‑15 (within last 3 years) and is logged in as admin | 1. Admin selects patient P123, attempts Delete | Error: “Patient cannot be deleted – recent consultations exist.” | Negative |
| TC‑SRS‑032 | Delete Patient Profile – allowed when no consultation in last 3 years | Req‑5/3 | Patient **P124** has no consultations in past 3 years | 1. Admin deletes P124 | Patient record removed | Functional |
| TC‑SRS‑033 | Create Consultation Request – Appointment mode (covers Req‑6/1 & 6/2) | Req‑6/1 | Patient **P200** logged in, has at least one symptom in master list | 1. Click **New Consultation**  <br>2. Select symptoms “Fever”, “Cough”  <br>3. Upload a PDF report (optional)  <br>4. Choose **Appointment**, select future date (next day)  <br>5. Submit | Consultation request created, status = **Pending**, entry appears in Patient Appointment File for the selected date | Functional |
| TC‑SRS‑034 | Create Consultation Request – Offline Consultation mode | Req‑6/1 | Patient logged in | Same steps as TC‑033 but choose **Offline Consultation** | Consultation request created with mode = Offline, no entry in Appointment File | Functional |
| TC‑SRS‑035 | Batch Job – generate next‑5‑day Appointment File (Req‑6/3) | Req‑6/3 | Nightly batch scheduler is enabled; there are pending appointment‑type requests for dates within next 5 days | 1. Trigger batch job (or wait for scheduled run) | Appointment File populated with all qualifying requests; previous file purged | Functional |
| TC‑SRS‑036 | Machine‑Learning Disease Prediction – batch run (Req‑7) | Req‑7 | At least one new consultation request exists with symptoms; ML model is deployed | 1. Run the prediction batch job | Each new request gets a **Priority** (Critical / Medium / Low) field populated; prediction confidence stored | Functional |
| TC‑SRS‑037 | Doctor provides consultation – view prioritized list (Req‑8) | Req‑8 | Doctor **D001** logged in; at least one pending request with priority **Critical** exists | 1. Open **My Consultations**  <br>2. Verify list is ordered by priority (Critical first) | Critical request appears at top of list | Functional |
| TC‑SRS‑038 | Doctor adds diagnosis, medicines, lab tests to prescription (Req‑8) | Req‑8 | Doctor has opened a pending consultation request | 1. Enter diagnosis text, select medicines from catalogue, add lab test “Blood Sugar”  <br>2. Save | Prescription record created; status = **Ready for Chemist/Lab**; linked to patient, doctor, and selected chemist/l
